Old,New
GEOID,GEOID
totPopE,TotPopE
totalP_hh,TotPopHh
totVetPop,TotVetPop
totUnits,TotUnits
totWrkE,TotWrkE
whiteP,WhiteP
blackP,BlackP
amIndP,AmIndP
asianP,AsianP
pacIsP,PacISP
otherP,OtherP
hispP,HispP
childP,ChildrenP
a15_24P,A15_24P
und45P,Und45P
ovr65P,Ovr65P
age0_4,Age0_4
age5_14,Age5_14
age15_19,Age15_19
age20_24,Age20_24
age15_44,Age15_44
age45_49,Age45_49
age50_54,Age50_54
age55_59,Age55_59
age60_64,Age60_64
ageOv65,AgeOv65
ageOv18,AgeOv18
age18_64,Age18_64
disbP,DisbP
noHSP,NoHSP
VetPercent,VetP
nonRel_fhhR,NonRelFhhP
nonRel_nfhhR,NonRelNfhhP
BED_COUNT,BedCnt
POINT_IN_TIME,PntInTm
YEARLY_BED_COUNT,YrlyBedCnt
unempP,UnempP
povP,PovP
MedInc,MedInc
pciE,PciE
GiniCoeff,GiniCoeff
eduP,EduP
hghRskP,HghRskP
hltCrP,HltCrP
retailP,RetailP
essnWrkE,EssnWrkE
essnWrkP,EssnWrkP
NoIntPct,NoIntP
vacantP,VacantP
mobileP,MobileP
lngTermP,LngTermP
rentalP,RentalP
unitDens,UnitDens
RUCA1,Ruca1
RUCA2,Ruca2
rurality,Rurality
areaSqMi,AreaSqMi
alcTotal,AlcTot
alcDens,AlcDens
alcPerCap,AlcPerCap
dissim.b,DsmBlk
inter.bw,IntrBlkWht
iso.b,IsoBlk
dissim.h,DsmHsp
inter.hw,IntrHspWht
iso.h,IsoHsp
dissim.a,DsmAs
inter.aw,IntrAsWht
iso.a,IsoAs
mean(ndvi),Ndvi
moudMinDis,MoudMinDis
bupMinDis,BupMinDis
bupTimeDrive,BupTmDr
bupCountDrive30,BupCntDr30
metMinDis,MetMinDis
metTimeDrive,MetTmDr
metCountDrive30,MetCntDr30
nalMinDis,NalMinDis
nalTimeDrive,NalTmDr
nalCountDrive30,NalCntDr30
bupTimeWalk,BupTmWk
bupCountWalk60,BupCntWk60
bupCountWalk30,BupCntWk30
metTimeWalk,MetTmWk
metCountWalk60,MetCntWk30
metCountWalk30,MetCntWk60
nalTimeWalk,NalTmWk
nalCountWalk60,NalCntWk60
nalCountWalk30,NalCntWk30
bupTimeBike,BupTmBk
bupCountBike60,BupCntBk60
bupCountBike30,BupCntBk30
metTimeBike,MetTmBk
metCountBike60,MetCntBk60
metCountBike30,MetCntBk30
nalTimeBike,NalTmBk
nalCountBike60,NalCntBk60
nalCountBike30,NalCntBk30
minDisFQHC,FqhcMinDis
timeDriveFQHC,FqhcTmDr
countDriveFQHC,FqhcCntDr
minDisHosp,HospMinDis
timeDriveHosp,HospTmDr
countDriveHosp,HospCntDr
minDisRx,RxMinDis
timeDriveRx,RxTmDr
countDriveRx,RxCntDr
minDisMH,MhMinDis
timeDriveMh,MhTmDr
countDriveMh,MhCntDr
minDisSUT,SutMinDis
timeDriveSUT,SutTmDr
countDriveSUT,SutCntDr
minDisOTP,OtpMinDis
timeDriveOTP,OtpTmDr
countDriveOTP,OtpCntDr
SVIS,SviTh1
SVI_THEME1,SviTh2
SVI_THEME2,SviTh3
SVI_THEME3,SviTh4
SVI_THEME4,SviSmryRnk
